Files already downloaded and verified
torch.Size([1024, 3, 32, 32]) torch.Size([1024])
--------------------------------------------------------------------------------
validating pair distance...
--------------------------------------------------------------------------------

step: 390, attack: 0.91, loss: 2.47, ce: 0.24, reg: 36.96, reg_best: 33.88  
step: 400, attack: 0.85, loss: 2.33, ce: 0.47, reg: 33.82, reg_best: 33.88  
step: 410, attack: 0.86, loss: 2.40, ce: 0.27, reg: 36.96, reg_best: 33.88  
step: 420, attack: 0.95, loss: 2.41, ce: 0.22, reg: 38.47, reg_best: 33.88  
step: 430, attack: 0.87, loss: 2.40, ce: 0.33, reg: 34.71, reg_best: 33.88  
step: 440, attack: 0.91, loss: 2.37, ce: 0.30, reg: 35.89, reg_best: 33.88  
step: 450, attack: 0.87, loss: 2.36, ce: 0.32, reg: 35.47, reg_best: 33.88  
step: 460, attack: 0.91, loss: 2.32, ce: 0.36, reg: 34.52, reg_best: 33.88  
step: 470, attack: 0.81, loss: 2.55, ce: 0.41, reg: 33.94, reg_best: 33.88  
step: 480, attack: 0.85, loss: 2.36, ce: 0.44, reg: 33.46, reg_best: 33.88  
step: 490, attack: 0.88, loss: 2.30, ce: 0.40, reg: 33.86, reg_best: 33.88  
step: 500, attack: 0.94, loss: 2.31, ce: 0.30, reg: 35.61, reg_best: 33.88  
step: 510, attack: 0.93, loss: 2.31, ce: 0.29, reg: 35.63, reg_best: 33.88  
step: 520, attack: 0.91, loss: 2.37, ce: 0.34, reg: 34.57, reg_best: 33.88  
step: 530, attack: 0.86, loss: 2.41, ce: 0.35, reg: 34.51, reg_best: 33.88  
step: 540, attack: 0.84, loss: 2.35, ce: 0.38, reg: 34.16, reg_best: 33.88  
step: 550, attack: 0.81, loss: 2.45, ce: 0.44, reg: 33.82, reg_best: 33.88  
step: 560, attack: 0.91, loss: 2.28, ce: 0.32, reg: 34.93, reg_best: 33.88  
step: 570, attack: 0.88, loss: 2.30, ce: 0.40, reg: 34.35, reg_best: 33.88  
step: 580, attack: 0.89, loss: 2.34, ce: 0.38, reg: 34.41, reg_best: 33.88  
step: 590, attack: 0.87, loss: 2.47, ce: 0.30, reg: 36.66, reg_best: 33.88  
step: 600, attack: 0.94, loss: 2.35, ce: 0.26, reg: 36.79, reg_best: 33.88  
step: 610, attack: 0.84, loss: 2.55, ce: 0.42, reg: 34.53, reg_best: 33.88  
step: 620, attack: 0.88, loss: 2.26, ce: 0.35, reg: 34.39, reg_best: 33.88  
step: 630, attack: 0.83, loss: 2.41, ce: 0.34, reg: 34.77, reg_best: 33.88  
step: 640, attack: 0.89, loss: 2.30, ce: 0.41, reg: 34.30, reg_best: 33.88  
step: 650, attack: 0.92, loss: 2.26, ce: 0.30, reg: 35.13, reg_best: 33.88  
